cargo fmt
cd apps/keyforge-ui && npm run format

> keyforge-ui@0.8.0 format
> prettier --write .

.vscode/extensions.json 29ms (unchanged)
index.html 34ms (unchanged)
package.json 4ms (unchanged)
postcss.config.js 10ms (unchanged)
README.md 28ms (unchanged)
src-tauri/capabilities/default.json 4ms (unchanged)
src-tauri/gen/schemas/acl-manifests.json 120ms (unchanged)
src-tauri/gen/schemas/capabilities.json 3ms (unchanged)
src-tauri/gen/schemas/desktop-schema.json 75ms (unchanged)
src-tauri/gen/schemas/linux-schema.json 105ms (unchanged)
src-tauri/tauri.conf.json 9ms (unchanged)
src/api/client.ts 74ms (unchanged)
src/api/constants.ts 18ms (unchanged)
src/api/error.ts 13ms (unchanged)
src/api/events.ts 10ms (unchanged)
src/api/services/AssetService.ts 17ms (unchanged)
src/api/services/BaseService.ts 19ms (unchanged)
src/api/services/JobService.ts 9ms (unchanged)
src/api/services/WorkerService.ts 16ms (unchanged)
src/api/tauri.ts 30ms (unchanged)
src/api/wasm-pkg/keyforge_wasm_bg.wasm.d.ts 7ms (unchanged)
src/api/wasm-pkg/keyforge_wasm.d.ts 13ms (unchanged)
src/api/wasm-pkg/keyforge_wasm.js 87ms (unchanged)
src/api/wasm-pkg/package.json 3ms (unchanged)
src/api/web.ts 26ms (unchanged)
src/api/worker.ts 17ms (unchanged)
src/App.tsx 26ms (unchanged)
src/components/ArenaCanvas.tsx 17ms (unchanged)
src/components/AuthWidget.tsx 17ms (unchanged)
src/components/Charts.tsx 14ms (unchanged)
src/components/CommandPalette.tsx 26ms (unchanged)
src/components/ContextControls.tsx 6ms (unchanged)
src/components/CorpusManager.tsx 13ms (unchanged)
src/components/Header.tsx 10ms (unchanged)
src/components/HistoryTable.tsx 6ms (unchanged)
src/components/Inspector.tsx 23ms (unchanged)
src/components/KeyboardDesigner.tsx 20ms (unchanged)
src/components/KeyboardMap.tsx 33ms (unchanged)
src/components/KeyPicker.tsx 18ms (unchanged)
src/components/KeyTester.tsx 22ms (unchanged)
src/components/LiveGraph.tsx 15ms (unchanged)
src/components/modals/ExportModal.tsx 13ms (unchanged)
src/components/NavRail.tsx 13ms (unchanged)
src/components/NetworkBar.tsx 5ms (unchanged)
