char,freq
e,445155370175
t,330535289102
a,286527429118
o,272276534337
i,269731642485
n,257770795264
s,232082812755
r,223767519675
h,180074687596
l,144998552911
d,136017528785
c,119155568598
u,97273082907
m,89506734085
f,85635440629
p,76112599849
g,66615316232
w,59712390260
y,59331661972
b,52905544693
v,37532682260
k,19261229433
x,8369138754
j,5657910830
q,4292916949
z,3205398166
 ,743842922321
.,51688184401
",",64610230502
',21536743500
"""",12922046100
;,8614697400
:,8614697400
?,4307348700
!,4307348700
-,21536743500
/,12922046100
0,8614697400
1,8614697400
2,8614697400
3,8614697400
4,8614697400
5,8614697400
6,8614697400
7,8614697400
8,8614697400
9,8614697400
@,4307348700
#,2153674350
$,2153674350
%,2153674350
&,4307348700
*,4307348700
(,8614697400
),8614697400
[,2153674350
],2153674350
{,861469740
},861469740
<,861469740
>,861469740
=,4307348700
+,2153674350
|,430734870
\\,861469740
_,4307348700
\n,51688184401
