char1,char2,freq
t,h,100272945963
h,e,86697336727
i,n,68595215308
e,r,57754162106
a,n,55974567611
r,e,52285662239
o,n,49570981965
a,t,41920838452
e,n,41004903554
n,d,38129777631
t,i,37856196209
e,s,37766388079
o,r,35994097756
t,e,33973261529
o,f,33130341561
e,d,32937140633
i,s,31817918249
i,t,31672532308
a,l,30662410438
a,r,30308513014
s,t,29704461829
t,o,29360205581
n,t,29359771944
n,g,26871805511
s,e,26282488562
h,a,26103411208
a,s,24561944198
o,u,24531132241
i,o,23542263265
l,e,23382173640
v,e,23270129573
c,o,22384167777
m,e,22360109325
d,e,21565300071
h,i,21520845924
r,i,20516398905
r,o,20491179118
i,c,19701195496
n,e,19504235770
e,a,19403941063
r,a,19332539912
c,e,18367773425
l,i,17604626629
c,h,16854985236
l,l,16257360474
b,e,16249257887
m,a,15938689768
s,i,15509759748
o,m,15402602484
u,r,15303657594
c,a,15174413181
e,l,14952716079
t,a,14941000711
l,a,14874551789
n,s,14350320288
d,i,13899990598
f,o,13753006196
h,o,13672603513
p,e,13477683504
e,c,13457763533
p,r,13378480175
n,o,13099447521
c,t,12997849406
u,s,12808517567
a,c,12625666388
o,t,12465822481
i,l,12167821320
t,r,12006693396
l,y,11983948242
n,c,11722631112
e,t,11634161334
u,t,11423899818
s,s,11421755201
s,o,11214705934
r,s,11180732354
u,n,11121118166
l,o,10908830081
w,a,10865206430
g,e,10861045622
i,e,10845731320
w,h,10680697684
e,e,10647199443
w,i,10557401491
e,m,10536054813
a,d,10375130449
o,l,10305660447
r,t,10198055461
p,o,10189505383
w,e,10176141608
n,a,9790855551
u,l,9751225781
n,i,9564648232
t,s,9516029773
m,o,9498813191
o,w,9318366591
p,a,9123652775
i,m,8959759181
m,i,8957825538
a,i,8922759715
s,h,8888705287
i,r,8886799024
s,u,8774129154
i,d,8332214014
o,s,8176085241
i,v,8116349309
i,a,8072199471
a,m,8032259916
f,i,8024355222
c,i,7936922442
v,i,7600241898
p,l,7415349106
i,g,7189051323
t,u,7187510085
e,v,7184041787
l,d,7122648226
r,y,6985436186
m,p,6743935008
f,e,6670566518
b,l,6581097936
a,b,6479202253
g,h,6414827751
t,y,6408447994
o,p,6313536754
w,o,6252724050
s,a,6147356936
a,y,6128842727
e,x,6035335807
k,e,6027536039
f,r,6011200185
o,o,5928601045
a,v,5778409728
a,g,5772552144
i,f,5731148470
a,p,5719570727
g,r,5548472398
o,d,5511014957
b,o,5509918152
s,p,5392724233
r,d,5338083783
d,o,5307591560
u,c,5291161134
b,u,5214802738
e,i,5169898489
o,v,5021440160
b,y,4975814759
r,m,4938158020
e,p,4837800987
t,t,4812693687
o,c,4692062395
f,a,4624241031
e,f,4588497002
c,u,4585165906
r,n,4521640992
s,c,4363410770
g,i,4275639800
d,a,4259590348
y,o,4226720021
c,r,4214150542
c,l,4201617719
d,u,4186093215
g,a,4175274057
q,u,4160167957
u,e,4158448570
f,f,4125634219
b,a,4122472992
e,y,4053144855
l,s,3990203351
v,a,3946966167
u,m,3901923211
p,p,3850125519
u,a,3844138094
u,p,3835093459
l,u,3811884104
g,o,3725558729
h,t,3670802795
r,u,3618438291
u,g,3606562400
d,s,3560125353
l,t,3486149365
p,i,3470838749
r,c,3422694015
r,r,3404547067
e,g,3370515965
a,u,3356322923
c,k,3316660134
e,w,3293529190
m,u,3231856188
b,r,3145611704
b,i,3005679357
p,t,2982699529
a,k,2952167845
p,u,2947681332
u,i,2852182384
r,g,2813274913
i,b,2780268452
t,l,2775935006
n,y,2760941827
k,i,2759841743
r,k,2736041446
y,s,2730343336
o,b,2725791138
m,m,2708822249
f,u,2706168901
p,h,2661480326
o,g,2651165734
m,s,2617582287
y,e,2612941418
u,d,2577213760
m,b,2544901434
i,p,2515455253
u,b,2497666762
o,i,2474275212
r,l,2432373251
g,u,2418410978
d,r,2409399231
h,r,2379584978
c,c,2344219345
t,w,2322619238
f,t,2302659749
w,n,2227183930
n,u,2217508482
a,f,2092395523
h,u,2077887429
n,n,2051719074
e,o,2044268477
v,o,2004982879
r,v,1953555667
n,f,1894270041
x,p,1885334638
g,n,1850801359
s,m,1838392669
f,l,1830098844
i,z,1814164135
o,k,1813376076
n,l,1798491132
m,y,1753447198
g,l,1709752272
a,w,1689436638
j,u,1655210582
o,a,1620913259
e,q,1614312175
s,y,1602829285
s,l,1575646777
p,s,1538723474
j,o,1516687319
l,f,1507867867
n,v,1466426243
j,e,1463052212
n,k,1455100124
k,n,1450401608
g,s,1443474876
d,y,1421751251
h,y,1412343465
z,e,1402290616
k,s,1339590722
x,t,1315669490
b,s,1292319275
i,k,1209994695
d,d,1205446875
c,y,1176324279
r,p,1173542093
s,k,1112771273
x,i,1111463633
o,e,1089254517
o,y,1020190223
w,s,989253674
l,v,984229060
d,l,911886482
r,f,909634941
e,u,878402090
d,g,874188188
w,r,867361010
x,a,834649781
y,i,812619095
n,m,782441941
e,b,763383542
r,b,753194669
t,m,746621025
x,c,746076293
e,h,742240059
t,c,736955048
g,y,731420025
j,a,729206855
h,n,726288117
y,p,702499946
z,a,702199296
g,g,697999944
y,m,667551857
s,w,663415953
b,j,654853039
l,m,649112313
c,s,643530723
i,i,642384029
i,x,621227893
x,e,614533122
o,h,602121281
l,k,555883002
d,v,537221821
l,p,536595562
a,x,531206960
o,x,523764012
u,f,522547858
d,m,512522701
i,u,490874936
s,f,483979931
b,t,482272940
k,a,478095427
y,t,470429861
e,k,464449289
p,m,449910017
y,a,444542870
g,t,434302509
w,l,429185823
r,h,426095630
y,l,416082307
h,s,414044112
a,h,384694919
y,c,380670476
y,n,372595315
r,w,359714599
h,m,359316447
l,w,356374125
h,l,355049620
a,e,349540062
z,i,341671190
a,z,334669428
l,c,333338045
p,y,331698156
a,j,331384552
i,q,318727904
n,j,312598990
b,b,308276690
n,h,306883963
u,o,300484143
k,l,298033281
l,r,283411884
t,n,282266629
g,m,277966576
s,n,258702825
n,r,258048421
f,y,256535008
m,n,247850339
d,w,230152384
s,b,223212317
y,r,219696469
d,n,213431654
s,q,209894196
z,o,202480511
o,j,196696657
y,d,192245315
l,b,188643782
w,t,184446342
l,g,171657388
k,o,171324962
n,p,170186564
s,r,168896339
n,q,167770304
k,y,167761726
l,n,165509578
n,w,163456000
t,f,159626603
f,s,155349948
c,q,154363546
d,h,153344431
s,d,148275222
v,y,138085211
d,j,134832736
h,w,134615178
x,u,134528161
a,o,130442323
m,l,129888836
u,k,129819900
u,y,128782521
e,j,128194584
e,z,127540198
h,b,123778334
n,z,123192934
n,b,122258836
m,c,121591374
y,b,121220723
t,p,121089391
x,h,117618666
u,x,110947766
t,z,108527540
b,v,108385069
m,f,107664447
w,d,99767462
o,z,97904996
y,w,95070267
k,h,89811517
g,d,89087728
b,m,88228719
m,r,87580303
k,u,85313841
u,v,82252351
d,t,81648332
h,d,80544316
a,a,79794787
x,x,79068246
d,f,78347492
d,b,78190243
j,i,77899882
k,r,76743394
x,o,76097183
c,m,75144874
z,z,75012595
n,x,73899576
y,g,73102462
x,y,72645837
k,g,72267691
t,b,71746167
d,c,71030077
b,d,69761165
s,g,69588685
w,y,68368953
z,y,66473188
a,q,63283982
h,f,63249924
c,d,62905910
v,u,62384927
k,w,61416538
z,u,60692846
b,n,59062122
i,h,58966344
t,g,55522877
x,v,55076715
u,z,53873803
b,c,53278096
x,f,52374239
y,z,51097953
k,m,50449220
d,p,48855638
l,h,45643026
w,f,45330551
k,f,44759608
p,f,41022263
c,f,39704311
m,t,38538709
y,u,37436235
c,p,37067423
p,b,36901495
t,d,36539510
z,l,35456851
s,v,35005005
h,c,34631551
m,g,34537023
p,w,34037460
g,f,33962536
p,d,33798376
p,n,33536129
p,c,33156666
r,x,32990613
t,v,32805751
i,j,31324465
w,m,30732232
u,h,30097154
w,k,30095733
w,b,29929113
b,h,29797934
o,q,29227658
k,t,29132180
r,q,28152573
k,b,25406204
c,g,24975673
v,r,24701238
c,n,24249641
p,k,23099462
u,u,22006895
y,f,21246637
w,p,20982546
c,z,20601701
k,p,20492678
d,q,19927900
w,u,19601657
f,m,19340776
w,c,19008254
m,d,18929019
k,d,18894758
