char1,char2,char3,freq
t,h,e,69221160871
a,n,d,26468697834
i,n,g,21289988294
i,o,n,20449402244
t,i,o,16819216214
e,n,t,15514431359
a,t,i,11778016773
f,o,r,11352182252
h,e,r,10921772146
t,e,r,10298054230
h,a,t,9595332482
t,h,a,9447439870
e,r,e,8939106849
a,t,e,8757480213
h,i,s,8073090301
c,o,n,8068814778
r,e,s,7496974307
v,e,r,7415630371
a,l,l,7317964040
o,n,s,7187472617
n,c,e,6936472580
m,e,n,6889167446
i,t,h,6795041998
t,e,d,6610757134
e,r,s,6524449179
p,r,o,6441091673
t,h,i,6357454845
w,i,t,6270098257
a,r,e,6050931663
e,s,s,5961685248
n,o,t,5871622477
i,v,e,5738676234
w,a,s,5723542738
e,c,t,5633214660
r,e,a,5614636634
c,o,m,5512716986
e,v,e,5367611215
p,e,r,5340402298
i,n,t,5272125236
e,s,t,5093021295
s,t,a,5003705570
c,t,i,4965296625
i,c,a,4851083411
i,s,t,4696789776
e,a,r,4565761282
a,i,n,4507928531
o,n,e,4425109105
o,u,r,4406006814
i,t,i,4405426644
r,a,t,4343095846
n,t,e,4326059573
t,i,n,4314722175
i,n,e,4289473708
d,e,r,4270017146
o,m,e,4215212970
m,a,n,4170329466
p,r,e,4165466522
r,o,m,4120910706
t,r,a,4103386993
w,h,i,4056368486
a,v,e,4051571914
s,t,r,4004702365
a,c,t,3996307044
i,l,l,3995118251
u,r,e,3944467758
i,d,e,3916831962
o,v,e,3916118810
c,a,l,3912525152
b,l,e,3874673895
o,u,t,3862229953
s,t,i,3838372232
t,i,c,3827724881
o,u,n,3822970506
e,n,c,3804294828
o,r,e,3797463503
a,n,t,3755591976
i,t,y,3740314311
f,r,o,3734044758
a,r,t,3726591176
t,u,r,3716216523
p,a,r,3691428919
r,e,d,3671917165
o,t,h,3662729446
e,r,i,3634984261
h,i,c,3617867236
i,e,s,3606387088
s,t,e,3592565889
g,h,t,3589011577
i,c,h,3577428959
i,g,h,3553478573
u,n,d,3541129200
y,o,u,3526888940
o,r,t,3525114055
e,r,a,3467154217
w,e,r,3454801393
n,t,i,3452787542
o,u,l,3393996042
n,d,e,3371859569
i,n,d,3370038532
t,h,o,3369505315
h,o,u,3342574324
n,a,l,3328174739
b,u,t,3288060978
h,a,v,3269289459
u,l,d,3260062247
u,s,e,3249161948
h,a,n,3236577761
h,i,n,3192784848
e,e,n,3150099353
c,e,s,3146412304
c,o,u,3131814971
l,a,t,3128928842
t,o,r,3117606678
e,s,e,3083065459
a,g,e,3079371068
a,m,e,3063470381
r,i,n,3061940657
a,n,c,3061152975
t,e,n,3046276919
h,e,n,3028124771
m,i,n,3014281990
e,a,s,2978912999
c,a,n,2944892098
l,i,t,2944248001
c,h,a,2937894826
o,u,s,2923340166
e,a,t,2920916694
e,n,d,2874159170
s,s,i,2855479709
i,a,l,2846884929
l,e,s,2840778947
r,e,n,2834101790
t,i,v,2823963719
n,t,s,2819913821
w,h,e,2819913224
t,a,t,2816539690
a,b,l,2813941563
d,i,s,2773684939
r,a,n,2756632817
w,o,r,2730928730
r,o,u,2725119281
l,i,n,2717930332
h,a,d,2716612700
s,e,d,2712220619
o,n,t,2709693161
p,l,e,2709301962
u,g,h,2701766755
i,n,c,2670371826
s,i,o,2666874725
d,i,n,2664194678
r,a,l,2641166088
u,s,t,2626257068
t,a,n,2585346335
n,a,t,2583946305
i,n,s,2580114109
a,s,s,2562588038
p,l,a,2561364747
v,e,n,2561186428
e,l,l,2560301401
s,h,e,2537293543
o,s,e,2536016912
i,t,e,2534327799
l,l,y,2527757315
r,e,c,2526083797
l,a,n,2505261403
a,r,d,2487791987
h,e,y,2482083623
r,i,e,2479665577
p,o,s,2464211596
e,m,e,2455833072
m,o,r,2447547857
d,e,n,2429526864
o,u,g,2428002205
t,t,e,2421458175
n,e,d,2407171853
r,i,t,2393330568
i,m,e,2376231548
s,i,n,2346887414
a,s,t,2340144326
a,n,y,2326409599
o,r,m,2324611512
n,d,i,2324589034
o,n,a,2322176393
s,p,e,2318638245
e,n,e,2315419652
h,e,i,2313435041
r,i,c,2308293732
i,c,e,2294801209
o,r,d,2286715485
o,m,p,2282867653
n,e,s,2282287423
s,e,n,2279307132
t,i,m,2278831703
t,r,i,2274907285
e,r,n,2267519557
t,e,s,2254187013
p,o,r,2253847267
a,p,p,2250639905
l,a,r,2206970736
n,t,r,2204208420
e,i,r,2204032234
s,h,o,2200493723
s,o,n,2170183171
c,a,t,2166573173
l,l,e,2165623064
n,e,r,2164964142
h,e,s,2163142912
w,h,o,2160306172
m,a,t,2157479849
a,s,e,2154434497
k,i,n,2151792089
o,s,t,2150055872
b,e,r,2140061455
i,t,s,2139410770
n,i,n,2139022753
l,e,a,2131394724
i,n,a,2115500516
m,p,l,2114302261
s,t,o,2113597230
a,r,i,2098441070
p,r,i,2094394221
o,w,n,2094281927
a,l,i,2092006545
r,e,e,2078805186
i,s,h,2074242414
d,e,s,2065715430
e,a,d,2060206998
n,s,t,2054599822
s,i,t,2052297953
s,e,s,2048207199
a,n,s,2026036276
h,a,s,2017612960
g,r,e,2001721438
o,n,g,2001446810
a,l,s,2000332681
f,i,c,1997879534
u,a,l,1996324956
i,e,n,1995121823
g,e,n,1991701772
s,e,r,1987057848
u,n,t,1982548278
e,c,o,1981693790
n,t,a,1978715787
a,c,e,1977975504
c,h,i,1975189149
f,e,r,1975124250
t,a,l,1972799407
l,o,w,1970111275
a,c,h,1966761386
i,r,e,1964868193
a,n,g,1962979826
s,s,e,1960826586
g,r,a,1959140336
m,o,n,1955584919
f,f,e,1952351948
r,a,c,1946702195
s,e,l,1944734073
u,n,i,1943038289
a,k,e,1943012492
a,r,y,1933364771
w,i,l,1932036855
l,e,d,1931510341
d,e,d,1927628435
s,o,m,1911763476
o,w,e,1902222370
h,a,r,1901770930
i,n,i,1891645157
o,p,e,1888113123
n,g,e,1885057822
u,c,h,1883741792
r,e,l,1881145045
c,h,e,1879547813
a,d,e,1878265265
a,t,t,1875749484
c,i,a,1873567925
e,x,p,1868948910
m,e,r,1866252229
l,i,c,1856452455
h,e,m,1837812879
e,r,y,1835595583
n,s,i,1823155367
o,n,d,1821563403
r,t,i,1821040658
d,u,c,1819169719
h,o,w,1815729773
e,r,t,1809544701
s,e,e,1801727547
n,o,w,1791229670
i,m,p,1787558291
a,b,o,1787056888
p,e,c,1784226987
c,e,n,1783826555
r,i,s,1782076111
m,a,r,1775964347
e,n,s,1770996323
t,a,i,1765027033
e,l,y,1751308590
o,m,m,1747661259
s,u,r,1735122761
h,e,a,1719821233
u,l,a,1713255664
u,l,t,1712422601
i,l,i,1696501308
b,e,e,1688792738
o,r,k,1683087659
l,i,s,1682095398
n,i,t,1679865263
o,r,i,1679533364
t,h,r,1673179164
a,t,h,1656426922
v,e,l,1654573696
t,i,e,1642539281
a,n,i,1625600626
c,u,l,1623340608
h,i,l,1623042285
t,e,m,1622557132
r,i,a,1619408655
t,r,e,1616513740
i,v,i,1606414119
v,e,s,1605862116
p,e,n,1603639140
c,r,e,1603148614
o,l,l,1597970087
e,l,e,1594486155
l,o,n,1587180640
w,a,r,1583926445
e,q,u,1583257479
t,r,o,1582672298
e,a,l,1576388073
r,e,p,1574573479
e,l,i,1573591451
i,a,n,1569158397
s,i,d,1568981834
i,s,e,1568344516
e,r,v,1556518611
t,r,u,1549162360
i,l,e,1548861086
q,u,e,1540834455
h,i,m,1537248696
m,e,d,1533532886
w,o,u,1530956183
f,i,n,1520863786
u,c,t,1516594336
o,l,d,1505803220
o,o,d,1500709917
c,o,r,1495416668
n,e,w,1494928759
e,a,c,1481161790
e,r,m,1475075676
f,a,c,1472843774
b,o,u,1471128114
a,c,k,1464619127
s,u,c,1463698853
e,d,i,1451750421
n,t,o,1449629791
c,a,r,1448156884
o,l,i,1443365710
n,l,y,1440124041
m,i,l,1439084774
e,e,d,1437607478
w,a,y,1431027289
r,o,p,1428409887
i,t,a,1427457862
e,t,h,1414693947
e,c,i,1414091861
u,t,i,1414080695
m,a,y,1412466904
i,c,i,1411469580
w,h,a,1407866798
r,m,a,1402784961
a,r,a,1392894978
q,u,i,1384393039
r,e,m,1380269169
m,b,e,1376365247
f,t,e,1371492548
r,s,t,1364987497
v,e,d,1359443941
c,t,e,1357259543
n,d,s,1350307486
f,i,r,1350121749
l,i,e,1348622147
m,e,t,1345596441
o,o,k,1340578410
m,o,s,1336327519
m,e,s,1335784567
a,c,c,1335476272
v,i,n,1335241247
g,i,n,1329414655
e,t,e,1324106156
r,g,e,1318433016
o,i,n,1315707093
a,r,r,1315150675
h,o,l,1312505295
i,g,n,1312444251
s,e,c,1311031779
p,o,n,1310917185
e,s,i,1310432300
t,l,y,1303246357
e,m,p,1301427587
s,i,s,1299963406
i,e,d,1296080290
o,t,e,1295951836
r,t,h,1294805606
m,a,l,1292178604
c,o,l,1288310679
d,i,t,1282288818
b,l,i,1279029992
r,o,n,1278719824
g,e,s,1276369776
s,h,i,1275044982
c,i,e,1273539579
a,t,u,1271862404
r,e,t,1268237862
g,e,r,1268117314
r,e,f,1267265138
o,l,o,1265524937
a,u,s,1262012449
r,c,h,1261302449
l,a,c,1257561661
l,l,o,1256491417
t,l,e,1251635091
t,i,t,1246928327
i,f,i,1245924749
h,o,s,1244713023
b,e,c,1241611218
p,e,a,1240165018
e,c,e,1236102954
l,l,i,1236074227
o,n,c,1235335543
r,c,e,1234682633
f,u,l,1234540963
g,r,o,1230277639
o,r,s,1222304913
l,a,s,1220793842
r,i,o,1220235046
a,r,s,1217318786
c,e,d,1216728247
w,i,n,1216304177
o,n,l,1214820120
v,i,d,1212096337
n,g,s,1209854635
i,o,u,1207913620
o,r,y,1206606762
c,l,e,1202720861
l,e,c,1201130773
i,t,t,1197174866
u,r,i,1196296508
o,s,s,1189532371
r,t,a,1187187660
c,e,r,1185469813
p,o,l,1183491197
n,i,s,1182596115
a,r,l,1178491856
e,x,t,1175724950
h,e,d,1175539685
p,p,e,1171579952
i,s,i,1170738876
v,a,l,1167421106
a,r,g,1163598275
r,i,g,1158099454
n,s,e,1155938022
h,o,r,1153746894
i,s,s,1152026468
i,a,t,1151580638
c,r,i,1150300966
e,l,a,1149221682
e,s,p,1148639931
i,t,u,1144223267
t,w,o,1144145849
n,o,r,1141113001
r,s,e,1140048363
