From_Key,To_Key,Cost_MS,Confidence_Samples
KeyQ,KeyQ,120.00,50
KeyQ,KeyW,99.00,50
KeyQ,KeyE,81.00,50
KeyQ,KeyR,76.50,50
KeyQ,KeyT,90.00,50
KeyQ,KeyY,100.00,50
KeyQ,KeyU,85.00,50
KeyQ,KeyI,90.00,50
KeyQ,KeyO,110.00,50
KeyQ,KeyP,120.00,50
KeyQ,KeyA,115.00,50
KeyQ,KeyS,100.00,50
KeyQ,KeyD,82.50,50
KeyQ,KeyF,80.00,50
KeyQ,KeyG,92.50,50
KeyQ,KeyH,92.50,50
KeyQ,KeyJ,80.00,50
KeyQ,KeyK,82.50,50
KeyQ,KeyL,100.00,50
KeyQ,Semicolon,115.00,50
KeyQ,KeyZ,130.00,50
KeyQ,KeyX,120.00,50
KeyQ,KeyC,105.00,50
KeyQ,KeyV,100.00,50
KeyQ,KeyB,107.50,50
KeyQ,KeyN,107.50,50
KeyQ,KeyM,100.00,50
KeyQ,Comma,105.00,50
KeyQ,Period,120.00,50
KeyQ,Slash,130.00,50
KeyW,KeyQ,99.00,50
KeyW,KeyW,100.00,50
KeyW,KeyE,72.00,50
KeyW,KeyR,67.50,50
KeyW,KeyT,81.00,50
KeyW,KeyY,81.00,50
KeyW,KeyU,75.00,50
KeyW,KeyI,80.00,50
KeyW,KeyO,100.00,50
KeyW,KeyP,110.00,50
KeyW,KeyA,105.00,50
KeyW,KeyS,90.00,50
KeyW,KeyD,72.50,50
KeyW,KeyF,70.00,50
KeyW,KeyG,82.50,50
KeyW,KeyH,82.50,50
KeyW,KeyJ,70.00,50
KeyW,KeyK,72.50,50
KeyW,KeyL,90.00,50
KeyW,Semicolon,105.00,50
KeyW,KeyZ,120.00,50
KeyW,KeyX,110.00,50
KeyW,KeyC,95.00,50
KeyW,KeyV,90.00,50
KeyW,KeyB,97.50,50
KeyW,KeyN,97.50,50
KeyW,KeyM,90.00,50
KeyW,Comma,95.00,50
KeyW,Period,110.00,50
KeyW,Slash,120.00,50
KeyE,KeyQ,81.00,50
KeyE,KeyW,72.00,50
KeyE,KeyE,60.00,50
