188K	apps/keyforge-agent
36K	apps/keyforge-assetmgr
28K	apps/keyforge-assets
204K	apps/keyforge-cli
552K	apps/keyforge-hive
28K	apps/keyforge-tui
6.9G	apps/keyforge-ui
84K	libs/keyforge-adapter
88K	libs/keyforge-compute
132K	libs/keyforge-evolution
68K	libs/keyforge-export
264K	libs/keyforge-infra
464K	libs/keyforge-model
96K	libs/keyforge-persistence
5.3M	libs/keyforge-physics
256K	libs/keyforge-protocol
32K	libs/keyforge-security
28K	libs/keyforge-testing
16K	libs/keyforge-testing-macros
40K	libs/keyforge-wasm
